,tweet_id,retweet_count,favorite_count
283,838085839343206401,0,147
284,838083903487373313,3379,18470
285,837820167694528512,8423,35843
286,837482249356513284,471,4018
287,837471256429613056,2457,13413
288,837366284874571778,5677,22168
289,837110210464448512,2560,16798
290,836989968035819520,2466,13360
291,836753516572119041,4952,20176
292,836677758902222849,2381,13232
293,836648853927522308,586,0
294,836397794269200385,29677,0
295,836380477523124226,3179,15459
296,836260088725786625,4608,22314
297,836001077879255040,4608,20048
298,835685285446955009,8757,0
299,835574547218894849,3888,18687
300,835536468978302976,1826,0
301,835309094223372289,22590,0
302,835297930240217089,3225,17254
303,835264098648616962,1826,8128
304,835246439529840640,78,2195
305,835172783151792128,6169,27463
306,835152434251116546,3246,23604
307,834931633769889797,1772,11395
308,834786237630337024,5902,22259
309,834574053763584002,2723,14382
310,834477809192075265,11474,0
311,834458053273591808,1804,10101
312,834209720923721728,5146,21664
313,834167344700198914,3912,16575
314,834089966724603904,2285,10560
315,834086379323871233,2388,13730
316,833863086058651648,2590,14103
317,833826103416520705,4018,18921
318,833732339549220864,232,0
319,833722901757046785,3459,21788
320,833479644947025920,2228,15629
321,833124694597443584,5215,21244
322,832998151111966721,2388,13988
323,832769181346996225,40,0
324,832757312314028032,3901,17714
325,832682457690300417,3164,12504
326,832645525019123713,559,3079
327,832636094638288896,3010,16691
328,832397543355072512,2396,12574
329,832369877331693569,3442,18073
330,832273440279240704,2514,11914
331,832215909146226688,6675,0
332,832215726631055365,10120,0
333,832088576586297345,2,70
334,832040443403784192,10478,0
335,832032802820481025,5001,18770
336,831939777352105988,6623,25275
337,831926988323639298,35,359
338,831911600680497154,7043,29146
339,831670449226514432,1953,11003
340,831650051525054464,2093,7572
341,831552930092285952,2476,9481
342,831322785565769729,1648,9708
343,831315979191906304,1207,6887
344,831309418084069378,2634,12367
345,831262627380748289,2214,12555
346,830956169170665475,1615,8403
347,830583320585068544,18174,70559
348,830173239259324417,6160,0
349,830097400375152640,3250,10363
350,829878982036299777,5427,0
351,829861396166877184,2114,12897
352,829501995190984704,11474,33485
353,829449946868879360,2200,11043
354,829374341691346946,10076,36538
355,829141528400556032,8019,25870
356,829011960981237760,17564,55976
357,828801551087042563,3676,0
358,828770345708580865,6348,27009
359,828708714936930305,12153,38672
360,828650029636317184,1460,10039
361,828409743546925057,1247,6646
362,828408677031882754,1390,8085
363,828381636999917570,2412,13341
364,828376505180889089,1151,7803
365,828372645993398273,3187,13244
366,828361771580813312,184,2319
367,828046555563323392,3100,12422
368,828011680017821696,2328,10950
369,827933404142436356,5658,21280
370,827653905312006145,3251,16291
371,827600520311402496,1029,7834
372,827324948884643840,3325,16774
373,827199976799354881,2430,11185
374,826958653328592898,5427,22825
375,826848821049180160,11082,38582
376,826615380357632002,4283,0
377,826598799820865537,276,5410
378,826598365270007810,2551,10663
379,826476773533745153,4546,19498
380,826240494070030336,2810,14065
381,826204788643753985,1010,5174
382,826115272272650244,3404,16579
383,825876512159186944,2028,11083
384,825829644528148480,2698,13493
385,825535076884762624,18669,55165
386,825147591692263424,4969,19394
387,825120256414846976,1391,0
388,825026590719483904,1391,6730
389,824796380199809024,5972,0
390,824775126675836928,3825,15881
391,824663926340194305,1888,10687
392,824325613288833024,11290,12492
393,824297048279236611,4204,15961
394,824025158776213504,641,5059
395,823939628516474880,2950,11287
396,823719002937630720,12200,0
397,823699002998870016,2629,13348
398,823581115634085888,2877,13826
399,823333489516937216,27,738
400,823322678127919110,4370,16697
401,823269594223824897,10715,0
402,822975315408461824,3741,18342
403,822872901745569793,47724,140480
404,822859134160621569,2491,14031
405,822647212903690241,6978,0
406,822610361945911296,3230,15687
407,822489057087389700,6978,19289
408,822462944365645825,15957,30230
409,822244816520155136,10715,37174
410,822163064745328640,5236,0
411,821886076407029760,2552,12070
412,821813639212650496,3637,0
413,821765923262631936,1816,8936
414,821522889702862852,1932,8522
415,821421320206483457,6096,0
416,821407182352777218,4736,12491
417,821153421864615936,10,270
418,821149554670182400,2195,9263
419,821107785811234820,2319,10190
420,821044531881721856,2497,13470
421,820837357901512704,7308,0
422,820749716845686786,10806,33536
423,820690176645140481,3514,12965
424,820494788566847489,617,0
425,820446719150292993,2820,0
426,820314633777061888,617,3541
427,820078625395449857,6859,21077
428,820013781606658049,1292,0
429,819952236453363712,1292,5649
430,819924195358416896,5275,13685
431,819711362133872643,3422,14319
432,819588359383371776,2146,10174
433,819347104292290561,1316,7685
434,819238181065359361,440,2427
435,819227688460238848,7308,24565
436,819015337530290176,40072,0
437,819015331746349057,20660,0
438,819006400881917954,20660,48057
439,819004803107983360,40072,91963
440,818646164899774465,22787,0
441,818627210458333184,8133,23616
442,818614493328580609,2820,10506
443,818588835076603904,6704,0
444,818536468981415936,2708,11610
445,818307523543449600,8869,0
446,818259473185828864,2497,11748
447,818145370475810820,2836,13088
448,817908911860748288,861,5154
449,817827839487737858,29677,55223
450,817777686764523521,2921,11390
451,817536400337801217,3316,12577
452,817502432452313088,3705,0
453,817423860136083457,16342,36443
454,817415592588222464,1051,5979
455,817181837579653120,9292,0
456,817171292965273600,2195,9295
457,817120970343411712,2865,12967
458,817056546584727552,1807,9137
459,816829038950027264,5153,0
460,816816676327063552,2224,10654
461,816697700272001025,2417,10449
462,816450570814898180,8869,32584
463,816336735214911488,2136,9160
464,816091915477250048,2358,9519
465,816062466425819140,1137,0
466,816014286006976512,5814,0
467,815990720817401858,1137,5329
468,815966073409433600,9292,23932
469,815745968457060357,4518,0
470,815736392542261248,2487,10497
471,815639385530101762,1798,8763
472,815390420867969024,4167,11048
473,814986499976527872,1416,8143
474,814638523311648768,2964,12022
475,814578408554463233,6354,0
476,814530161257443328,2033,9241
477,814153002265309185,9513,30719
478,813944609378369540,3496,0
479,813910438903693312,2061,9918
480,813812741911748608,15341,38795
481,813800681631023104,1922,8907
482,813217897535406080,7994,19945
483,813202720496779264,1969,9797
484,813187593374461952,4788,21181
485,813172488309972993,2096,9961
486,813157409116065792,2428,8285
487,813142292504645637,2579,8992
488,813130366689148928,486,4773
489,813127251579564032,3423,12663
490,813112105746448384,3020,11022
491,813096984823349248,3943,11245
492,813081950185472002,3033,10551
493,813066809284972545,2135,8505
494,813051746834595840,8039,22405
495,812781120811126785,2093,8098
496,812709060537683968,1567,7075
497,812503143955202048,1335,6489
498,812466873996607488,2110,8532
499,812372279581671427,4020,14637
500,811985624773361665,1541,7764
501,811744202451197953,1762,8068
502,811647686436880384,812,5961
503,811627233043480576,3425,13653
504,811386762094317568,7011,22356
505,810984652412424192,1571,5697
506,810896069567610880,1959,9672
507,810657578271330305,2904,11733
508,810284430598270976,12501,37882
509,810254108431155201,3676,15705
510,809920764300447744,4283,16569
511,809808892968534016,5381,0
512,809448704142938112,1611,7412
513,809220051211603969,6160,21318
514,809084759137812480,3846,14144
515,808838249661788160,3336,10813
516,808733504066486276,2383,8459
517,808501579447930884,2856,12062
518,808344865868283904,22787,45461
519,808134635716833280,6538,0
520,808106460588765185,2409,9345
521,808001312164028416,3877,13451
522,807621403335917568,4032,15588
523,807106840509214720,61013,127107
524,807059379405148160,8043,0
525,807010152071229440,4204,13968
526,806629075125202948,38246,80396
527,806620845233815552,6062,0
528,806576416489959424,2112,5187
529,806542213899489280,2597,10935
530,806242860592926720,12817,0
531,806219024703037440,1311,6869
532,805958939288408065,5904,0
533,805932879469572096,2097,8852
534,805826884734976000,2011,7047
535,805823200554876929,8826,0
536,805520635690676224,1805,6140
537,805487436403003392,2784,9387
538,805207613751304193,1872,8347
539,804738756058218496,4229,14693
540,804475857670639616,2210,6571
541,804413760345620481,3539,0
542,804026241225523202,17820,47784
543,803773340896923648,3045,10749
544,803692223237865472,8171,0
545,803638050916102144,4539,11763
546,803380650405482500,2038,8303
547,803321560782307329,5840,0
548,803276597545603072,2712,10737
549,802952499103731712,2206,9674
550,802624713319034886,3214,0
551,802600418706604034,1618,7620
552,802572683846291456,2747,9569
553,802323869084381190,6405,17393
554,802265048156610565,1497,7068
555,802239329049477120,2859,9719
556,802185808107208704,292,0
557,801958328846974976,1877,8263
558,801854953262350336,258,1883
559,801538201127157760,2257,8783
560,801285448605831168,917,6486
561,801167903437357056,6538,26264
562,801127390143516673,4367,0
563,801115127852503040,2294,8657
564,800859414831898624,107,740
565,800855607700029440,1789,0
566,800751577355128832,3046,11250
567,800513324630806528,3305,14080
568,800459316964663297,2374,10137
569,800443802682937345,4745,0
570,800388270626521089,3089,11946
571,800188575492947969,4331,0
572,800141422401830912,2820,16399
573,800018252395122689,14479,30429
574,799774291445383169,5149,0
575,799757965289017345,2376,9014
576,799422933579902976,2107,8624
577,799308762079035393,6072,0
578,799297110730567681,3044,10626
579,799063482566066176,2707,8672
580,798933969379225600,4921,14109
581,798925684722855936,1575,7981
582,798705661114773508,7258,0
583,798701998996647937,8574,0
584,798697898615730177,7155,0
585,798694562394996736,5456,0
586,798686750113755136,2552,0
587,798682547630837760,5186,0
588,798673117451325440,6091,0
589,798665375516884993,4278,0
590,798644042770751489,2032,0
591,798628517273620480,2161,0
592,798585098161549313,6268,0
593,798576900688019456,6442,0
594,798340744599797760,3691,0
595,798209839306514432,2814,11128
596,797971864723324932,3449,12482
597,797545162159308800,5340,15544
598,797236660651966464,7290,21409
599,797165961484890113,29,248
600,796904159865868288,9757,0
601,796865951799083009,2091,8230
602,796759840936919040,3358,12734
603,796563435802726400,8021,0
604,796484825502875648,1939,8123
605,796387464403357696,4581,11785
606,796177847564038144,15750,0
607,796149749086875649,15750,34691
608,796125600683540480,1961,5293
609,796116448414461957,2657,9744
610,796080075804475393,2551,9070
611,796031486298386433,4047,11579
612,795464331001561088,26210,53409
613,795400264262053889,3154,10828
614,795076730285391872,5972,17403
615,794983741416415232,3700,0
616,794926597468000259,2534,11030
617,794355576146903043,11303,0
618,794332329137291264,2914,10261
619,794205286408003585,3639,9858
620,793962221541933056,5381,18043
621,793845145112371200,2064,9868
622,793614319594401792,3427,0
623,793601777308463104,1799,8542
624,793500921481273345,2617,11470
625,793286476301799424,10120,26376
626,793271401113350145,2599,9270
627,793256262322548741,9170,21438
628,793241302385262592,3606,11269
629,793226087023144960,3144,10553
630,793210959003287553,3096,9575
631,793195938047070209,6185,16370
632,793180763617361921,2186,7422
633,793165685325201412,3057,10083
634,793150605191548928,1874,6617
635,793135492858580992,2744,6944
636,793120401413079041,4300,13615
637,792913359805018113,4416,15375
638,792883833364439040,4699,12127
639,792773781206999040,1848,7870
640,792394556390137856,4707,14423
641,792050063153438720,1979,7693
642,791821351946420224,23098,0
643,791784077045166082,10586,0
644,791780927877898241,4185,0
645,791774931465953280,24414,48412
646,791672322847637504,3427,12607
647,791406955684368384,4518,14062
648,791312159183634433,2795,9421
649,791026214425268224,4522,0
650,790987426131050500,2350,10602
651,790946055508652032,5153,17798
652,790723298204217344,2545,0
653,790698755171364864,2095,8776
654,790581949425475584,7891,22153
655,790337589677002753,2052,8376
656,790277117346975746,3496,13437
